"ADMIN_DATE","MVX","Daily_Count"
2021-11-05,ASZ,1
2021-11-05,JSN,151
2021-11-05,MOD,2224
2021-11-05,PFR,2690
2021-11-06,JSN,57
2021-11-06,MOD,852
2021-11-06,PFR,1532
2021-11-07,JSN,45
2021-11-07,MOD,334
2021-11-07,PFR,432
2021-11-08,JSN,108
2021-11-08,MOD,1204
2021-11-08,PFR,1885
2021-11-09,JSN,116
2021-11-09,MOD,1386
2021-11-09,PFR,1932
2021-11-10,JSN,95
2021-11-10,MOD,1684
2021-11-10,PFR,2208
2021-11-11,JSN,47
2021-11-11,MOD,1114
2021-11-11,PFR,1490
2021-11-12,JSN,110
2021-11-12,MOD,1674
2021-11-12,PFR,1970
2021-11-13,JSN,45
2021-11-13,MOD,740
2021-11-13,PFR,1624
2021-11-14,JSN,44
2021-11-14,MOD,212
2021-11-14,PFR,258
2021-11-15,JSN,79
2021-11-15,MOD,1049
2021-11-15,PFR,1165
2021-11-16,JSN,82
2021-11-16,MOD,1392
2021-11-16,PFR,1541
2021-11-17,JSN,93
2021-11-17,MOD,1430
2021-11-17,PFR,1895
2021-11-18,JSN,69
2021-11-18,MOD,1373
2021-11-18,PFR,1367
2021-11-19,JSN,92
2021-11-19,MOD,1690
2021-11-19,PFR,1607
2021-11-20,JSN,55
2021-11-20,MOD,662
2021-11-20,PFR,1075
2021-11-21,JSN,24
2021-11-21,MOD,354
2021-11-21,PFR,350
2021-11-22,JSN,64
2021-11-22,MOD,1146
2021-11-22,PFR,1355
2021-11-23,JSN,95
2021-11-23,MOD,1303
2021-11-23,PFR,1622
2021-11-24,JSN,79
2021-11-24,MOD,945
2021-11-24,PFR,1433
2021-11-25,JSN,3
2021-11-25,MOD,23
2021-11-25,PFR,3
2021-11-26,JSN,40
2021-11-26,MOD,891
2021-11-26,PFR,1438
2021-11-27,JSN,33
2021-11-27,MOD,497
2021-11-27,PFR,1236
2021-11-28,JSN,27
2021-11-28,MOD,292
2021-11-28,PFR,457
2021-11-29,JSN,59
2021-11-29,MOD,1060
2021-11-29,PFR,2352
2021-11-30,JSN,93
2021-11-30,MOD,1197
2021-11-30,PFR,2193
2021-12-01,JSN,81
2021-12-01,MOD,1354
2021-12-01,PFR,2293
2021-12-02,JSN,89
2021-12-02,MOD,1421
2021-12-02,PFR,1972
2021-12-03,JSN,93
2021-12-03,MOD,1844
2021-12-03,PFR,2462
2021-12-04,JSN,46
2021-12-04,MOD,530
2021-12-04,PFR,1856
2021-12-05,JSN,31
2021-12-05,MOD,193
2021-12-05,PFR,339
2021-12-06,JSN,79
2021-12-06,MOD,963
2021-12-06,PFR,1601
2021-12-07,JSN,88
2021-12-07,MOD,954
2021-12-07,PFR,1742
2021-12-08,JSN,81
2021-12-08,MOD,1123
2021-12-08,PFR,1852
